conditionId,city,entryTs,side,reason,cushion,ourBid,entryPrice,entryFill,exitPrice,exitFill,pnl,status,score,title
0x7494d41aec8843ffb3346cc58e50ac156c0bbf9acc8a39ec1a424da65ea69778,Paris,1776358890,NO,observed-above,2.00,0.9830,0.9805,40.69,0.9950,40.69,0.5891,maxhold-taker,1,Will the highest temperature in Paris be 20°C on April 16?
0x7494d41aec8843ffb3346cc58e50ac156c0bbf9acc8a39ec1a424da65ea69778,Paris,1776359010,NO,observed-above,2.00,0.9805,0.9805,40.79,0.9950,40.79,0.5906,maxhold-taker,1,Will the highest temperature in Paris be 20°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776360570,NO,observed-above,1.00,0.9892,0.9687,40.44,0.9990,40.44,1.2269,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776360780,NO,observed-above,1.00,0.9870,0.9687,40.53,0.9990,40.53,1.2298,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776360870,NO,observed-above,1.00,0.9860,0.9687,40.57,0.9990,40.57,1.2312,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776360900,NO,observed-above,1.00,0.9860,0.9687,40.57,0.9990,40.57,1.2312,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776360990,NO,observed-above,1.00,0.9873,0.9687,40.51,0.9990,40.51,1.2294,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361050,NO,observed-above,1.00,0.9880,0.9687,40.49,0.9990,40.49,1.2285,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361140,NO,observed-above,1.00,0.9880,0.9687,40.49,0.9990,40.49,1.2285,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361260,NO,observed-above,1.00,0.9880,0.9687,40.49,0.9990,40.49,1.2285,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361350,YES,forecast-in-range,0.50,0.3700,0.2914,108.11,1.0000,108.11,76.6054,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361350,NO,observed-above,1.00,0.9880,0.9687,40.49,0.9990,40.49,1.2285,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361380,YES,forecast-in-range,0.50,0.3800,0.2983,105.26,1.0000,105.26,73.8674,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361410,YES,forecast-in-range,0.50,0.3760,0.2935,106.38,1.0000,106.38,75.1562,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361440,NO,observed-above,1.00,0.9880,0.9687,40.49,0.9990,40.49,1.2285,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361470,YES,forecast-in-range,0.50,0.4000,0.3526,100.00,1.0000,100.00,64.7367,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361500,YES,forecast-in-range,0.50,0.4000,0.3526,100.00,1.0000,100.00,64.7367,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361590,YES,forecast-in-range,0.50,0.4000,0.3526,100.00,1.0000,100.00,64.7367,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361650,YES,forecast-in-range,0.50,0.4394,0.3546,91.03,1.0000,91.03,58.7481,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361830,NO,observed-above,1.00,0.9790,0.9659,40.86,0.9990,40.86,1.3508,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361860,NO,observed-above,1.00,0.9769,0.9652,40.94,0.9990,40.94,1.3826,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361890,YES,forecast-in-range,0.50,0.4200,0.3561,95.24,1.0000,95.24,61.3214,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361890,NO,observed-above,1.00,0.9800,0.9699,40.82,0.9990,40.82,1.1879,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x1b334fe6f6be9a476053756f4e660c2c49f17f2f38247b9095e0b5cafafa4097,Paris,1776361920,NO,observed-above,1.00,0.9730,0.9703,41.11,0.9990,41.11,1.1781,filled-999,1,Will the highest temperature in Paris be 21°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776361980,YES,forecast-in-range,0.50,0.3450,0.2825,115.94,1.0000,115.94,83.1859,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363360,YES,forecast-in-range,0.50,0.4300,0.1814,93.02,1.0000,93.02,76.1452,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363390,YES,forecast-in-range,0.50,0.4716,0.1787,84.82,1.0000,84.82,69.6619,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363420,YES,forecast-in-range,0.50,0.4800,0.1782,83.33,1.0000,83.33,68.4846,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363480,YES,forecast-in-range,0.50,0.4668,0.1791,85.69,1.0000,85.69,70.3480,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363540,YES,forecast-in-range,0.50,0.4924,0.1774,81.23,1.0000,81.23,66.8252,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363570,YES,forecast-in-range,0.50,0.5020,0.1767,79.68,1.0000,79.68,65.5988,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776363660,YES,forecast-in-range,0.50,0.5547,0.1866,72.11,1.0000,72.11,58.6548,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
