conditionId,side,openTs,walletEntry,walletExit,walletHoldMin,shares,actualPnl,simStatus,simExit,simHoldMin,simPnl,gap,title
0x34093e2fe7e704fc237ca2ac3a40ee2294393d3679ad6d966b2e22203246e1e9,NO,1776731724,0.9980,0.9990,0.5,960.00,0.9600,timeout-liquidate,0.9970,0.5,-0.9600,-1.9200,Will the highest temperature in Guangzhou be 26°C or below on April 21?
0x0b76470dccfc201034731644538ca8f8361f74c18d2bf65d29ca0584e4dd11d9,NO,1776731528,0.9979,0.9990,4.6,62.88,0.0669,timeout-liquidate,0.9985,3.7,0.0354,-0.0314,Will the highest temperature in Taipei be 26°C on April 21?
0x0b76470dccfc201034731644538ca8f8361f74c18d2bf65d29ca0584e4dd11d9,NO,1776731528,0.9979,0.9990,4.6,50.00,0.0532,timeout-liquidate,0.9985,3.7,0.0282,-0.0250,Will the highest temperature in Taipei be 26°C on April 21?
0x0b76470dccfc201034731644538ca8f8361f74c18d2bf65d29ca0584e4dd11d9,NO,1776731528,0.9979,0.9990,4.6,127.12,0.1352,timeout-liquidate,0.9985,3.7,0.0717,-0.0636,Will the highest temperature in Taipei be 26°C on April 21?
0x03b53b9ab623970605d6ae8030f9551138726c77a8c73936084000b2a572377e,NO,1776736930,0.9970,0.9990,0.9,5.73,0.0117,timeout-liquidate,0.9930,3.6,-0.0227,-0.0344,Will the highest temperature in Taipei be 28°C on April 21?
0x03b53b9ab623970605d6ae8030f9551138726c77a8c73936084000b2a572377e,NO,1776736930,0.9970,0.9990,0.9,4.26,0.0087,timeout-liquidate,0.9930,3.6,-0.0169,-0.0256,Will the highest temperature in Taipei be 28°C on April 21?
0x6e8da0bfeec82a545991023a2401d2336c6c08df894329c7392f74f34b11fb78,NO,1776737118,0.9980,0.9990,0.1,410.00,0.4100,timeout-liquidate,0.9955,0.4,-1.0250,-1.4350,Will the highest temperature in Guangzhou be 27°C on April 21?
0x03b53b9ab623970605d6ae8030f9551138726c77a8c73936084000b2a572377e,NO,1776736930,0.9957,0.9990,4.5,298.07,0.9698,timeout-liquidate,0.9930,3.6,-0.8186,-1.7884,Will the highest temperature in Taipei be 28°C on April 21?
0x03b53b9ab623970605d6ae8030f9551138726c77a8c73936084000b2a572377e,NO,1776737026,0.9953,0.9990,2.9,1.93,0.0071,timeout-liquidate,0.9930,2.0,-0.0045,-0.0116,Will the highest temperature in Taipei be 28°C on April 21?
0xa360eafc75cf053aaf67eee412f739d91cef7cdca40c456ac2fe8c8e11f93a66,NO,1776783838,0.9952,0.9990,0.4,720.00,2.7177,no-samples-in-window,0.9952,5.0,0.0000,-2.7177,Will the highest temperature in Buenos Aires be 19°C on April 21?
