snapshot_ts,snapshot_dt,city,date,condition_id,bucket_kind,bucket_lo_c,bucket_hi_c,obs_max_c,obs_max_age_h,current_temp_c,ttr_h,bucket_rel,signed_dist_c,abs_dist_c,yes_price,no_price,yes_price_age_s,no_price_age_s,n_ticks_1h,n_ticks_total,group_size,rank_by_abs_dist,rank_by_yes_price,rank_by_no_price,label,entered_side,entered_price,entered_usdc,entered_pnl,entry_type
1775453461,2026-04-06T05:31:01.000Z,Jakarta,2026-04-06,0x4919f631d39fd2cf5dcf96a3aec9ec94706380ac92d0f91a33d3e7c5ecb4b9e0,exact,33,33,32.2,24.52,31,11.48,below_obs,0.8,0.8,0.6499999024999659,0.9399999990599994,436,6,15,47,11,2,10,2,1,NO,0.9812047772049667,594.1601144753836,,open
1775453461,2026-04-06T05:31:01.000Z,Jakarta,2026-04-06,0x5023ed434bf11d6ab06782e6636d89a9498b83db5a1ca0a6dccba9e542b6cc80,exact,34,34,32.2,24.52,31,11.48,below_obs,1.8,1.8,0.65,0.38,98,116,10,54,11,4,11,1,0,,,,,
1775453461,2026-04-06T05:31:01.000Z,Jakarta,2026-04-06,0x6306e6679beb9a1db209a1773d81cdc776ff3601c2913b71ecfc2b61c8186a78,or_below,,26,32.2,24.52,31,11.48,above_obs,-6.2,6.2,0.001,0.999,68472,68064,0,23,11,11,2,10,0,,,,,
1775453461,2026-04-06T05:31:01.000Z,Jakarta,2026-04-06,0x777b2ad9a9e8f620b24a29951725f1bf0e00d817438007e19246f06fd15792cc,exact,28,28,32.2,24.52,31,11.48,above_obs,-4.2,4.2,0.02,0.999,15764,11908,0,84,11,9,4,11,0,,,,,
1775453461,2026-04-06T05:31:01.000Z,Jakarta,2026-04-06,0xc0cbfbc9a3509fece710ae31e74b6862a4267a4c8b9f235f9a5f17c2ecc34a53,exact,35,35,32.2,24.52,31,11.48,below_obs,2.8,2.8,0.068,0.96,98,480,10,35,11,6,8,3,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0x212ce133e2c8b7f13357158bd5f11a3fb5b99df330ad4b9ee583a4dca6fc9d9e,exact,20,20,16.7,0.47,16.7,7.53,below_obs,3.3,3.3,0.02879783372975287,0.9899999515977798,804,54,9,9,11,7,6,4,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0x3b27df4a279e585c23081c16e6c63d551b820b93c74a003c86862828e7727830,exact,23,23,16.7,0.47,16.7,7.53,below_obs,6.3,6.3,0.001,0.999,2558,2908,17,423,11,10,1,5,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0x5db34b02b73a613c630b79096dc4edfb05cd5374cba915cba865134e66f6072f,exact,24,24,16.7,0.47,16.7,7.53,below_obs,7.3,7.3,0.001,0.999,2558,13208,16,422,11,11,2,6,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0x7107fb5f3c62ccf980621ba9b1dc1f04410bc7f600fa824ba931e122c86e45da,exact,17,17,16.7,0.47,16.7,7.53,below_obs,0.3,0.3,0.66,0.38,50,32,127,1479,11,1,9,1,1,NO,0.863129659643436,1057.8129649685739,,open
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0x748eb438cf07dc087e7545aa7c81e992f3606d63bd2672b7b13e5842b45548f5,exact,18,18,16.7,0.47,16.7,7.53,below_obs,1.3,1.3,0.29,0.67,82,156,35,35,11,3,8,2,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0x83de6511247e77c34f290c011e9f6b58a5918e35a8aa4d6c4fc4e3840dfcff10,exact,16,16,16.7,0.47,16.7,7.53,above_obs,-0.7,0.7,0.001,0.999,734,124,56,1681,11,2,3,7,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0x8d44af553d26a04b58ce89dea5af18fbba250889c82de8ef9c62e190bc421c07,exact,19,19,16.7,0.47,16.7,7.53,below_obs,2.3,2.3,0.087,0.9779998780759339,604,252,38,38,11,5,7,3,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0xacc7ceeab882a1f486fb2cdb0a8f0c1a2f9dc19fdde2a463adfc961c9785027d,exact,22,22,16.7,0.47,16.7,7.53,below_obs,5.3,5.3,,,,,0,0,11,9,,,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0xb7b8028c00adad768d6e0c45ec7792e0102e6d5d993ddbf3276cf55f47dae61e,exact,15,15,16.7,0.47,16.7,7.53,above_obs,-1.7,1.7,0.001,0.999,3410,986,11,1131,11,4,4,8,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0xdda352c02538aa018376336ffee7210e7da2cf6a0cedc35fd8852dfdb08b57c9,or_below,,14,16.7,0.47,16.7,7.53,above_obs,-2.7,2.7,0.001,0.999,3412,3746,1,785,11,6,5,9,0,,,,,
1775485697,2026-04-06T14:28:17.000Z,Paris,2026-04-06,0xefb630b450bc264209fef9a27a6a94e0f54612c2f0f391f08b0629993e396bc7,exact,21,21,16.7,0.47,16.7,7.53,below_obs,4.3,4.3,,,,,0,0,11,8,,,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0x2f060086453dbb590767f40c1baffa94eaf85462533953b039f4a3a191ab149f,exact,19,19,18.3,19.56,12.6,13.44,below_obs,0.7,0.7,0.04,0.9659999983487154,1380,2208,6,267,11,2,8,2,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0x2fe500507c6c6fd135527dce94e1d29483136a35f469b4da43db08377286de48,exact,14,14,18.3,19.56,12.6,13.44,above_obs,-4.3,4.3,0.004,0.996,416,2,3,181,11,7,5,5,1,NO,0.9979107908187561,942.8972562258383,,open
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0x3845207a0d66a43daf3a54bcb8526503f99d4d100ae26521c0aa36c32cc4cb5e,exact,20,20,18.3,19.56,12.6,13.44,below_obs,1.7,1.7,0.02,0.98,52,90,24,334,11,4,6,3,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0x4b5dab89e9f3bf0185b22eea47cb1ff2201e84e34bd982ab2f279ea01687ea4c,exact,17,17,18.3,19.56,12.6,13.44,above_obs,-1.3,1.3,,,,,0,0,11,3,,,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0x5516c022ad0ecad542e70819107d0e5e239e81df6e342e556a55bb7ae81165fa,exact,16,16,18.3,19.56,12.6,13.44,above_obs,-2.3,2.3,0.14,0.9003643000336808,158,190,16,377,11,5,9,1,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0x8e228b111cb806a4aa7e4672fd8e4f1a73056fb6583d7e1b927c06bdea36351b,exact,15,15,18.3,19.56,12.6,13.44,above_obs,-3.3,3.3,0.02,0.9849999990149982,5246,232,6,21,11,6,7,4,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0x982eacc096a7082a5514b005ecb4b9b5b2644da37d7f7d7163847c4ebdf08e38,exact,18,18,18.3,19.56,12.6,13.44,above_obs,-0.3,0.3,,,,,0,0,11,1,,,0,,,,,
1775611999,2026-04-08T01:33:19.000Z,Tokyo,2026-04-08,0x9e3ea347cc6d3f9d0b2bb68cb3e0a7fb787b70f3b830f7fb3a8aa05d8f7055d5,exact,11,11,18.3,19.56,12.6,13.44,above_obs,-7.3,7.3,0.003,0.999,16090,19042,0,92,11,10,4,8,0,,,,,
